date,venue,race_no,horse_name,horse_number,draw,weight,rating,age,sex,trainer,jockey,win_odds
,,3,"Thebudgiesmugla (NZ)",2,6,121,101,,,"Bjorn Baker","Dylan Gibbons",5.8
,,3,"Glory Daze (IRE)",3,8,120,101,,,"Ciaron Maher","Regan Bayliss",
,,3,"Nellie Leylax (IRE)",4,5,120,99,,,"A & R Archibald","Alysha Collett",
,,3,"Boniface (FR)",5,5,119,94,,,"M Price & M Kent (Jnr)","Tommy Berry",2.4
,,3,"Sky Lab (AUS)",6,2,119,86,,,"Paul Perry","Shannen Llewellyn (a)",70
,,3,"Matusalem (AUS)",7,7,118,98,,,"Chris Waller","Tyler Schiller",9.1
,,3,"Belvedere Boys (AUS)",8,8,117,101,,,"Matthew Dunn","Kerrin McEvoy",28
,,3,"So You Are (AUS)",9,3,117,99,,,"Bjorn Baker","Rachel King",3.3
,,3,"Elliptical (AUS)",10,1,117,94,,,"Chris Waller","Andrew Adkins",10
,,4,"Savvy Hallie (AUS)",1,6,130,111,,,"Brad Widdup","Nash Rawiller",2.7
,,4,"Apocalyptic (AUS)",2,5,129,109,,,"Michael Freedman","Tommy Berry",2.7
,,4,"Midnight In Tokyo (AUS)",3,8,129,102,,,"Todd Pollard","Ben Thompson",
,,4,"Infancy (AUS)",4,4,128,105,,,"Kris Lees","Hugh Bowman",
,,4,"Catch The Glory (AUS)",5,7,127,107,,,"Jason Coyle","Adam Hyeronimus",19
,,4,"Prima Bella (NZ)",6,2,117,,,,"Matthew Smith","Kerrin McEvoy",5.0
,,4,"Karinska (AUS)",7,4,117,101,,,"Chris Waller","Tyler Schiller",22
,,4,"Stardom (AUS)",8,3,117,100,,,"G Waterhouse & A Bott","Rachel King",13
,,4,"Gatwick (AUS)",9,1,117,,,,"M Price & M Kent (Jnr)","Dylan Gibbons",9.5
,,5,"Cherry Bomshell (AUS)",1,2,126,103,,,"A & R Archibald","Ben Thompson",2.9
,,5,"Pembrey (AUS)",2,9,123,104,,,"Tony Gollan","James McDonald",4.8
,,5,"Agrarian Girl (AUS)",3,6,121,97,,,"G Waterhouse & A Bott","Tim Clark",6.4
